"","MSFT.Open","MSFT.High","MSFT.Low","MSFT.Close","MSFT.Volume","MSFT.Adjusted"
"1",29.91,30.25,29.4,29.860001,76935100,24.122669
"2",29.700001,29.969999,29.440001,29.809999,45774500,24.082275
"3",29.629999,29.75,29.450001,29.639999,44607200,23.944939
"4",29.65,30.1,29.530001,29.93,50220200,24.179218
"5",30,30.18,29.73,29.959999,44636600,24.203453
"6",29.799999,29.889999,29.43,29.66,55017400,23.961096
"7",29.76,30.75,29.65,30.700001,99464300,24.80127
"8",30.65,31.389999,30.639999,31.209999,103972500,25.213277
"9",31.26,31.450001,31.030001,31.16,62379600,25.172885
"10",31.26,31.440001,31.01,31.1,58519600,25.124413
"11",31.15,31.370001,30.799999,31,56364300,25.043627
"12",30.73,31.110001,30.690001,31.110001,75826900,25.132492
"13",31.059999,31.120001,30.51,30.719999,56143900,24.817426
"14",30.629999,30.959999,30.52,30.74,49171200,24.833584
"15",30.780001,31.299999,30.65,31.09,58527800,25.116335
"16",31.08,31.48,30.450001,30.450001,97378700,24.599305
"17",31.219999,31.23,30.6,30.6,96103700,24.720484
"18",30.65,30.780001,30.34,30.530001,57605900,24.663934
"19",30.57,30.639999,30.139999,30.48,61900400,24.62354
"20",30.41,31.1,30.35,30.860001,73968400,24.930528
"21",30.84,30.940001,30.370001,30.559999,55355800,24.688169
"22",30.82,30.84,30.129999,30.190001,60401700,24.389262
"23",29.969999,30.02,29.41,29.610001,99102100,23.920704
"24",29.59,29.75,29.219999,29.51,79281100,23.839918
"25",29.639999,29.700001,29.25,29.370001,65145500,23.726818
"26",29.24,29.799999,29.200001,29.26,48749000,23.637953
"27",29.35,29.4,28.93,28.98,69823100,23.411752
"28",28.889999,29.09,28.83,28.940001,52774400,23.379438
"29",29.040001,29.200001,28.959999,29.01,50348100,23.51725
"30",29.17,29.690001,29.15,29.4,55588600,23.833407
"31",29.58,29.65,29.219999,29.459999,63858100,23.882047
"32",28.91,28.940001,28.65,28.74,109340300,23.298372
"33",28.629999,28.860001,28.469999,28.83,53978200,23.371331
"34",28.75,29.389999,28.74,29.35,68604900,23.792875
"35",29.309999,29.540001,29.16,29.389999,57754400,23.825301
"36",29.219999,29.280001,28.889999,28.9,63787100,23.428077
"37",28.959999,29.09,28.82,29.07,63481900,23.56589
"38",28.709999,28.969999,27.790001,27.870001,87143300,22.593098
"39",27.950001,28.25,27.92,28.17,86333300,22.836296
"40",27.82,28.33,27.73,28.09,80175700,22.771443
"41",28.02,28.16,27.76,27.76,63254700,22.503925
"42",27.49,27.91,27.41,27.549999,56454300,22.333686
"43",27.799999,27.940001,27.65,27.83,49361800,22.560671
"44",27.76,27.9,27.549999,27.610001,52044700,22.382327
"45",27.719999,27.85,26.6,27.32,72175200,22.147234
"46",27.42,27.48,27.030001,27.290001,80125000,22.122916
"47",27.18,27.48,27.129999,27.440001,36516400,22.244514
"48",27.25,27.4,26.709999,26.719999,75169500,21.660838
"49",26.82,27.4,26.73,27.4,75730300,22.212087
"50",27.32,27.469999,27.200001,27.280001,51757100,22.114809
"51",27.35,27.48,27.200001,27.33,65055300,22.155341
"52",27.34,27.83,27.200001,27.83,49412000,22.560671
"53",27.93,28.16,27.76,27.84,47902400,22.568778
"54",27.9,28.52,27.559999,28.52,72808200,23.120027
"55",28.52,28.549999,28.01,28.27,47934900,22.917362
"56",28.219999,28.27,27.799999,28.02,50519800,22.714697
"57",27.940001,28.219999,27.700001,28.219999,47491500,22.876828
"58",28.040001,28.16,27.65,27.719999,58979800,22.471498
